station;station_old;Zone;Site;Latitude;Longitude;Bottom depth (m);Buoy depth (m);Receiver ID;Date in;Date out;Detections;Status;Observations
M17;M7;Medes-Montgrí-Ter;Medes;42,04023;3,22787;30;bottom;136755;2021-03-10;2021-08-30;70032;downloaded;
M17;M7;Medes-Montgrí-Ter;Medes;42,04023;3,22787;30;bottom;136746;2021-08-30;;;active;
M18;M6;Medes-Montgrí-Ter;Medes;42,04102;3,22492;;buoy;112364;2020-06-29;2021-03-10;121845;downloaded;Coordenades antigues: 42,04108 3,22472
M18;M6;Medes-Montgrí-Ter;Medes;42,04102;3,22492;;buoy;136759;2021-03-10;2021-08-30;76596;downloaded;
M18;M6;Medes-Montgrí-Ter;Medes;42,04102;3,22492;;buoy;128599;2021-08-30;;;active;
M19;M5;Medes-Montgrí-Ter;Medes;42,04220;3,22240;;5;125487;2020-06-25;;;lost;Lost
M20;M4;Medes-Montgrí-Ter;Medes;42,04462;3,21925;;5;125482;2020-06-25;2021-03-08;354640;downloaded;
M20;M4;Medes-Montgrí-Ter;Medes;42,04462;3,21925;;5;136764;2021-03-08;2021-08-30;200512;downloaded;
M20;M4;Medes-Montgrí-Ter;Medes;42,04462;3,21925;;5;136764;2021-08-30;;;active;
M21;M3;Medes-Montgrí-Ter;Medes;42,04762;3,21697;;5;125472;2020-06-25;2021-03-08;308518;downloaded;
M21;M3;Medes-Montgrí-Ter;Medes;42,04762;3,21697;;5;136752;2021-03-08;2021-08-30;111946;downloaded;
M21;M3;Medes-Montgrí-Ter;Medes;42,04762;3,21697;;5;137375;2021-08-30;;;active;
M22;MPORT;Medes-Montgrí-Ter;Port Estartit;42,05224;3,20655;;;101507;2020-12-13;2021-03-10;91951;downloaded;
M22;MPORT;Medes-Montgrí-Ter;Port Estartit;42,05224;3,20655;;;105286;2021-03-12;2021-08-15;14637;downloaded;
M22;MPORT;Medes-Montgrí-Ter;Port Estartit;42,05224;3,20655;;Boia senyalització ;138750;2021-08-15;;;active;
M23;M27;Medes-Montgrí-Ter;Golf de Pals;42,04585;3,20890;10;bottom;108864;2020-06-26;2021-03-12;24311;downloaded;
M23;M27;Medes-Montgrí-Ter;Golf de Pals;42,04585;3,20890;10;bottom;125478;2021-03-12;2021-09-06;14026;downloaded;
M23;M27;Medes-Montgrí-Ter;Golf de Pals;42,04585;3,20890;10;bottom;108868;2021-09-06;;;active;
M24;M26;Medes-Montgrí-Ter;Golf de Pals;42,03842;3,20638;9;bottom;108863;2020-06-26;2021-03-12;4413;downloaded;
M24;M26;Medes-Montgrí-Ter;Golf de Pals;42,03842;3,20638;9;bottom;125480;2021-03-12;2021-09-06;3382;downloaded;
M24;M26;Medes-Montgrí-Ter;Golf de Pals;42,03842;3,20638;9;bottom;136763;2021-09-06;;;active;
M25;M25;Medes-Montgrí-Ter;Golf de Pals;42,03197;3,20200;9,5;bottom;108860;2020-06-26;2021-03-12;12772;downloaded;
M25;M25;Medes-Montgrí-Ter;Golf de Pals;42,03197;3,20200;9,5;bottom;125460;2021-03-12;2021-09-06;5724;downloaded;
M25;M25;Medes-Montgrí-Ter;Golf de Pals;42,03197;3,20200;9,5;bottom;125466;2021-09-06;;;active;
M26;M24;Medes-Montgrí-Ter;Golf de Pals;42,02458;3,20178;10;bottom;125484;2020-06-26;2021-03-08;18141;downloaded;
M26;M24;Medes-Montgrí-Ter;Golf de Pals;42,02458;3,20178;10;bottom;136747;2021-03-08;2021-09-06;2509;downloaded;
M26;M24;Medes-Montgrí-Ter;Golf de Pals;42,02458;3,20178;10;bottom;105283;2021-03-08;;;active;
M27;M23;Medes-Montgrí-Ter;Golf de Pals;42,01768;3,20382;10;bottom;100623;2020-09-29;2021-03-12;7962;downloaded;
M27;M23;Medes-Montgrí-Ter;Golf de Pals;42,01768;3,20382;10;bottom;113500;2021-03-12;2021-09-06;714;downloaded;
M27;M23;Medes-Montgrí-Ter;Golf de Pals;42,01768;3,20382;10;bottom;136743;2021-09-06;;;active;
;M15;Medes-Montgrí-Ter;Medes;42,05020;3,22230;;5;125485;2020-06-25;;;lost;Lost. Es veuen els morts sense receptor.
