Included in VUE,Tag model,Serial No. ,ID Code,Detecciones,VUE Tag ID,Tag life (days),Species,Length,Zone,Capture Lat,Latitude,Longitude,Capture Long,Location name,Capture date,Recapture date,Hour ini,Hour end,Release Lat,Release Long,Fishing type,External tag colour,External tag ID,Observation,PROBLEMS
,V13P,1356064,16181,,A69-9007-16181,446,,,,,,,,,,,,,,,,,,,
,V13P,1356065,16182,,A69-9007-16182,446,,,,,,,,,,,,,,,,,,,
,V13P,1356066,16183,,A69-9007-16183,446,,,,,,,,,,,,,,,,,,,
Si,V13P,1356067,16184,,A69-9007-16184,446,Sparus aurata,42,Medes,"4,204,524",,,"321,897",Embarcador,20200917,,22:06,22:10,"4,204,524","321,897",Palangre Miquel,Vermell,59,,
Si,V13P,1356068,16185,,A69-9007-16185,446,Seriola dumerili ,65,Medes,"4,205,108",,,"322,061",Guix-Medallot,20201118,,12:30,12:50,"4,205,108","322,061",Calamar viu,Vermell,29,Pescat per Miquel amb calamar viu,
,V13P,1356069,16186,,A69-9007-16186,446,,,,,,,,,,,,,,,,,,,
,V13P,1356070,16187,,A69-9007-16187,446,,,,,,,,,,,,,,,,,,,
,V13P,1356071,16188,,A69-9007-16188,446,,,,,,,,,,,,,,,,,,,
,V13P,1356072,16189,,A69-9007-16189,446,,,,,,,,,,,,,,,,,,,
,V13P,1356073,16190,,A69-9007-16190,446,,,,,,,,,,,,,,,,,,,
,V13P,1356074,16191,,A69-9007-16191,446,,,,,,,,,,,,,,,,,,,
,V13P,1356075,16192,,A69-9007-16192,446,,,,,,,,,,,,,,,,,,,
,V13P,1356076,16193,,A69-9007-16193,446,,,,,,,,,,,,,,,,,,,
,V13P,1356077,16194,,A69-9007-16194,446,,,,,,,,,,,,,,,,,,,
,V13P,1356078,16195,,A69-9007-16195,446,,,,,,,,,,,,,,,,,,,
,V13P,1356079,16196,,A69-9007-16196,446,,,,,,,,,,,,,,,,,,,
,V13P,1356080,16197,,A69-9007-16197,446,,,,,,,,,,,,,,,,,,,
,V13P,1356081,16198,,A69-9007-16198,446,,,,,,,,,,,,,,,,,,,
,V13P,1356082,16199,,A69-9007-16199,446,Sparus aurata,47,Medes,"4,205,085",,,"322,300",Medallot-P Deu,20210329,,19:15,19:35,"4,205,085","322,300",,,117,,
